timestamp,user_id,action_type,action_count,raw_str
2024-02-10 08:00:00,1,view_page,5,"{""page_id"": ""home"", ""session_length"": 300}"
2024-02-10 08:15:00,2,click_link,3,"{""link_id"": ""about_us"", ""destination_url"": ""/about""}"
2024-02-10 08:30:00,3,submit_form,1,"{""form_id"": ""signup"", ""form_fields"": 5}"
2024-02-10 08:45:00,4,view_page,4,"{""page_id"": ""services"", ""session_length"": 150}"
2024-02-10 09:00:00,5,click_link,2,"{""link_id"": ""contact"", ""destination_url"": ""/contact""}"
2024-02-10 09:15:00,6,submit_form,1,"{""form_id"": ""feedback"", ""form_fields"": 4}"
2024-02-10 09:30:00,7,view_page,3,"{""page_id"": ""blog"", ""session_length"": 200}"
2024-02-10 09:45:00,8,click_link,3,"{""link_id"": ""login"", ""destination_url"": ""/login""}"
2024-02-10 10:00:00,9,submit_form,2,"{""form_id"": ""search"", ""form_fields"": 1}"
2024-02-10 10:15:00,10,view_page,5,"{""page_id"": ""portfolio"", ""session_length"": 250}"
2024-02-10 10:30:00,1,click_link,4,"{""link_id"": ""products"", ""destination_url"": ""/products""}"
2024-02-10 10:45:00,2,submit_form,1,"{""form_id"": ""login"", ""form_fields"": 3}"
2024-02-10 11:00:00,3,view_page,2,"{""page_id"": ""team"", ""session_length"": 180}"
2024-02-10 11:15:00,4,click_link,2,"{""link_id"": ""FAQ"", ""destination_url"": ""/faq""}"
2024-02-10 11:30:00,5,submit_form,2,"{""form_id"": ""register"", ""form_fields"": 6}"
2024-02-10 11:45:00,6,view_page,6,"{""page_id"": ""careers"", ""session_length"": 220}"
2024-02-10 12:00:00,7,click_link,1,"{""link_id"": ""support"", ""destination_url"": ""/support""}"
2024-02-10 12:15:00,8,submit_form,1,"{""form_id"": ""contact_us"", ""form_fields"": 4}"
2024-02-10 12:30:00,9,view_page,3,"{""page_id"": ""pricing"", ""session_length"": 190}"
2024-02-10 12:45:00,10,click_link,5,"{""link_id"": ""news"", ""destination_url"": ""/news""}"
2024-02-10 13:00:00,1,submit_form,1,"{""form_id"": ""update_profile"", ""form_fields"": 5}"
2024-02-10 13:15:00,2,view_page,2,"{""page_id"": ""terms"", ""session_length"": 160}"
2024-02-10 13:30:00,3,click_link,4,"{""link_id"": ""privacy"", ""destination_url"": ""/privacy""}"
2024-02-10 13:45:00,4,submit_form,2,"{""form_id"": ""unsubscribe"", ""form_fields"": 1}"
2024-02-10 14:00:00,5,view_page,1,"{""page_id"": ""sitemap"", ""session_length"": 70}"
2024-02-10 14:15:00,6,click_link,2,"{""link_id"": ""blog_post"", ""destination_url"": ""/blog/some-post""}"
2024-02-10 14:30:00,7,submit_form,3,"{""form_id"": ""poll"", ""form_fields"": 3}"
2024-02-10 14:45:00,8,view_page,4,"{""page_id"": ""FAQ"", ""session_length"": 120}"
2024-02-10 15:00:00,9,click_link,1,"{""link_id"": ""webinar"", ""destination_url"": ""/events/webinar""}"
2024-02-10 15:15:00,10,submit_form,1,"{""form_id"": ""change_password"", ""form_fields"": 3}"
2024-02-10 15:30:00,1,view_page,2,"{""page_id"": ""about_us"", ""session_length"": 110}"
